,Tên nhà máy,Công suất PLM (MW),Sản lượng (triệu KWh /năm),Khởi công,Hoạt động,Tọa độ,Vị trí xã huyện,Tỉnh
0,,,,,,,,
1,Yên Định,30.0,,10/2017,12/2018,"20°00′09″B 105°37′04″Đ﻿ / ﻿20,00246°B 105,6179°Đ",xã Yên Thái huyện Yên Định,Thanh Hóa
2,Cẩm Hòa,50.0,,1/2019,6/2019,"18°19′39″B 106°00′58″Đ﻿ / ﻿18,32755°B 106,01623°Đ",xã Cẩm Hòa huyện Cẩm Xuyên,Hà Tĩnh [1]
3,Cẩm Hưng,29.0,,2018,2020,"18°12′44″B 105°59′46″Đ﻿ / ﻿18,21209°B 105,99599°Đ",xã Cẩm Hưng & Cẩm Quan huyện Cẩm Xuyên,Hà Tĩnh
4,Sơn Quang,29.0,,2018,2020,"18°30′41″B 105°23′36″Đ﻿ / ﻿18,5113°B 105,3933°Đ",xã Sơn Quang huyện Hương Sơn,Hà Tĩnh
5,Dohwa Lệ Thủy,47.6,6581.0,6/2020,12/2020,"17°14′06″B 106°52′00″Đ﻿ / ﻿17,23507°B 106,86676°Đ","xã Ngư Thủy Bắc và Hưng Thủy, huyện Lệ Thủy",Quảng Bình
6,Gio Thành 1&2,100.0,1272.0,2019,12/2019,"16°55′31″B 107°08′22″Đ﻿ / ﻿16,92514°B 107,13958°Đ",xã Gio Thành và Gio Hải huyện Gio Linh,Quảng Trị
7,LIG Quảng Trị,49.5,676.0,2018,6/2019,"16°55′03″B 107°09′08″Đ﻿ / ﻿16,91742°B 107,1523°Đ",xã Gio Hải và Gio Thành huyện Gio Linh,Quảng Trị [2]
8,Phong Điền 2,50.0,68.0,11/2019,12/2020,"16°36′43″B 107°23′59″Đ﻿ / ﻿16,61182°B 107,39972°Đ","xã Phong Chương, huyện Phong Điền",Thừa Thiên Huế
9,TTC Phong Điền,35.0,616.0,2/2018,10/2018,"16°41′59″B 107°25′30″Đ﻿ / ﻿16,69974°B 107,4251°Đ",xã Điền Lộc huyện Phong Điền,Thừa Thiên - Huế
10,Bình Nguyên,50.0,737.0,2018,6/2019,"15°20′00″B 108°42′33″Đ﻿ / ﻿15,33327°B 108,70907°Đ",xã Bình Nguyên huyện Bình Sơn,Quảng Ngãi [3]
